word,n
the,666935
and,324258
a,322177
of,289382
to,268071
is,211044
br,201951
in,186664
it,156473
i,153602
this,150639
that,136995
was,95577
as,91686
for,87412
with,87331
movie,86955
but,83373
film,77608
on,68021
not,60702
you,60329
are,58379
his,57520
have,55189
be,53367
one,53005
he,52437
all,46832
at,46769
by,44464
an,42955
they,41844
so,40827
who,40633
from,40482
like,40152
or,35746
just,35158
her,34759
out,34174
about,34152
if,33884
it's,33390
has,33032
there,31173
some,31106
what,30618
good,29676
when,28020
more,27993
very,27715
up,26371
no,25259
time,25030
my,24853
even,24840
would,24232
she,24169
which,23394
only,23229
really,23087
see,22993
story,22991
their,22734
had,22061
can,22007
me,21416
well,21213
were,21206
than,19330
much,19290
we,19246
bad,18449
get,18360
been,18347
do,18200
other,18107
great,18104
will,18091
also,17926
people,17850
into,17846
because,17710
how,17591
first,17564
him,17560
most,17359
don't,16853
made,16130
its,16014
them,15988
then,15975
make,15887
way,15607
too,15356
movies,15262
could,15209
any,15037
after,14951
characters,14429
think,14331
watch,13919
films,13726
two,13533
many,13435
seen,13355
character,13308
being,13113
never,12981
love,12963
plot,12944
acting,12842
life,12777
best,12600
did,12579
where,12533
know,12478
little,12431
show,12427
over,12208
off,12033
ever,12006
does,11605
your,11488
better,11417
man,11127
end,11101
scene,10913
still,10843
say,10759
these,10714
here,10568
why,10483
scenes,10461
while,10350
something,10107
such,10002
go,9942
through,9686
back,9662
should,9626
real,9425
those,9386
i'm,9356
now,9221
watching,9153
thing,9125
actors,8932
doesn't,8839
years,8742
funny,8737
though,8728
didn't,8726
old,8616
another,8568
work,8536
10,8531
before,8508
actually,8466
nothing,8336
makes,8312
look,8279
director,8235
find,8215
going,8184
new,8094
same,8091
lot,8055
every,7963
few,7956
part,7859
again,7857
down,7409
cast,7399
us,7363
things,7331
want,7286
quite,7274
pretty,7251
world,7238
horror,7228
around,7149
seems,7074
can't,7040
young,7003
take,6986
big,6954
got,6947
thought,6933
however,6915
fact,6899
enough,6890
long,6866
both,6800
that's,6721
give,6692
i've,6629
own,6591
may,6589
between,6577
comedy,6545
series,6543
right,6521
action,6494
must,6457
music,6445
without,6433
saw,6338
times,6338
always,6326
original,6303
isn't,6290
come,6284
role,6267
almost,6257
gets,6233
guy,6197
interesting,6175
point,6164
done,6142
whole,6121
there's,6104
least,6102
far,5986
bit,5963
script,5889
s,5874
minutes,5862
feel,5828
making,5772
anything,5753
might,5750
since,5732
family,5720
am,5715
last,5697
he's,5684
2,5626
probably,5617
tv,5610
performance,5558
kind,5543
away,5499
yet,5468
fun,5383
worst,5330
sure,5285
girl,5281
rather,5275
hard,5269
anyone,5236
each,5201
day,5191
played,5187
found,5159
woman,5062
looking,5050
our,5020
screen,5010
although,4997
especially,4995
believe,4987
having,4925
trying,4907
course,4889
dvd,4822
everything,4799
set,4797
goes,4757
comes,4750
put,4749
ending,4744
maybe,4718
book,4709
